district_id,cook_pvi,cook_pvi_string,incumbent,incumbent_party,is_open,cook_rating,source_url
CO-02,20.0,D+20,Joe Neguse,D,False,Solid D,https://www.cookpolitical.com/races
CO-03,-5.0,R+5,Jeff Hurd,R,False,Solid R,https://www.cookpolitical.com/races
CO-04,-9.0,R+9,Lauren Boebert,R,False,Solid R,https://www.cookpolitical.com/races
CO-05,-5.0,R+5,Jeff Crank,R,False,Likely R,https://www.cookpolitical.com/races
CO-06,11.0,D+11,Jason Crow,D,False,Solid D,https://www.cookpolitical.com/races
CO-07,8.0,D+8,Brittany Pettersen,D,False,Solid D,https://www.cookpolitical.com/races
CO-08,-0.0,EVEN,Gabe Evans,R,False,Toss Up,https://www.cookpolitical.com/races
CT-01,12.0,D+12,John B. Larson,D,False,Solid D,https://www.cookpolitical.com/races
CT-02,4.0,D+4,Joe Courtney,D,False,Solid D,https://www.cookpolitical.com/races
CT-03,8.0,D+8,Rosa DeLauro,D,False,Solid D,https://www.cookpolitical.com/races
CT-04,13.0,D+13,Jim Himes,D,False,Solid D,https://www.cookpolitical.com/races
CT-05,3.0,D+3,Jahana Hayes,D,False,Solid D,https://www.cookpolitical.com/races
DE-01,8.0,D+8,Sarah McBride,D,False,Solid D,https://www.cookpolitical.com/races
FL-01,-18.0,R+18,Jimmy Patronis,R,False,Solid R,https://www.cookpolitical.com/races
FL-02,-8.0,R+8,OPEN,,True,Solid R,https://www.cookpolitical.com/races
FL-03,-10.0,R+10,Kat Cammack,R,False,Solid R,https://www.cookpolitical.com/races
FL-04,-5.0,R+5,Aaron Bean,R,False,Solid R,https://www.cookpolitical.com/races
FL-05,-10.0,R+10,John Rutherford,R,False,Solid R,https://www.cookpolitical.com/races
FL-06,-14.0,R+14,Randy Fine,R,False,Solid R,https://www.cookpolitical.com/races
FL-07,-5.0,R+5,Cory Mills,R,False,Likely R,https://www.cookpolitical.com/races
FL-08,-8.0,R+8,Mike Haridopolos,R,False,Solid R,https://www.cookpolitical.com/races
FL-09,-8.0,R+8,Darren Soto,D,False,Likely R,https://www.cookpolitical.com/races
FL-10,13.0,D+13,Maxwell Frost,D,False,Solid D,https://www.cookpolitical.com/races
FL-11,-7.0,R+7,OPEN,,True,Solid R,https://www.cookpolitical.com/races
FL-12,-7.0,R+7,Gus Bilirakis,R,False,Solid R,https://www.cookpolitical.com/races
FL-13,-6.0,R+6,Anna Paulina Luna,R,False,Likely R,https://www.cookpolitical.com/races
FL-14,-4.0,R+4,Kathy Castor,D,False,Lean R,https://www.cookpolitical.com/races
FL-15,-9.0,R+9,Laurel Lee,R,False,Solid R,https://www.cookpolitical.com/races
FL-16,-6.0,R+6,OPEN,,True,Solid R,https://www.cookpolitical.com/races
FL-17,-10.0,R+10,Greg Steube,R,False,Solid R,https://www.cookpolitical.com/races
FL-18,-8.0,R+8,Scott Franklin,R,False,Solid R,https://www.cookpolitical.com/races
FL-19,-14.0,R+14,OPEN,,True,Solid R,https://www.cookpolitical.com/races
FL-20,20.0,D+20,Debbie Wasserman Schultz,D,False,Solid D,https://www.cookpolitical.com/races
FL-21,-7.0,R+7,Brian Mast,R,False,Solid R,https://www.cookpolitical.com/races
FL-22,-4.0,R+4,OPEN,,True,Lean R,https://www.cookpolitical.com/races
FL-23,9.0,D+9,Lois Frankel,D,False,Solid D,https://www.cookpolitical.com/races
FL-24,22.0,D+22,OPEN,,True,Solid D,https://www.cookpolitical.com/races
FL-25,-3.0,R+3,Jared Moskowitz,D,False,Toss Up,https://www.cookpolitical.com/races
FL-26,-7.0,R+7,Mario Díaz-Balart,R,False,Solid R,https://www.cookpolitical.com/races
FL-27,-6.0,R+6,Maria Elvira Salazar,R,False,Likely R,https://www.cookpolitical.com/races
FL-28,-10.0,R+10,Carlos A. Giménez,R,False,Solid R,https://www.cookpolitical.com/races
GA-01,-8.0,R+8,OPEN,,True,Solid R,https://www.cookpolitical.com/races
GA-02,4.0,D+4,Sanford Bishop,D,False,Solid D,https://www.cookpolitical.com/races
GA-03,-15.0,R+15,Brian Jack,R,False,Solid R,https://www.cookpolitical.com/races
GA-04,27.0,D+27,Hank Johnson,D,False,Solid D,https://www.cookpolitical.com/races
GA-05,36.0,D+36,Nikema Williams,D,False,Solid D,https://www.cookpolitical.com/races
GA-06,25.0,D+25,Lucy McBath,D,False,Solid D,https://www.cookpolitical.com/races
GA-07,-11.0,R+11,Rich McCormick,R,False,Solid R,https://www.cookpolitical.com/races
GA-08,-15.0,R+15,Austin Scott,R,False,Solid R,https://www.cookpolitical.com/races
GA-09,-17.0,R+17,Andrew Clyde,R,False,Solid R,https://www.cookpolitical.com/races
GA-10,-11.0,R+11,OPEN,,True,Solid R,https://www.cookpolitical.com/races
GA-11,-12.0,R+12,OPEN,,True,Solid R,https://www.cookpolitical.com/races
GA-12,-7.0,R+7,Rick Allen,R,False,Solid R,https://www.cookpolitical.com/races
GA-13,21.0,D+21,VACANT,,True,Solid D,https://www.cookpolitical.com/races
GA-14,-19.0,R+19,Clay Fuller,R,False,Solid R,https://www.cookpolitical.com/races
HI-01,13.0,D+13,Ed Case,D,False,Solid D,https://www.cookpolitical.com/races
HI-02,12.0,D+12,Jill Tokuda,D,False,Solid D,https://www.cookpolitical.com/races
IA-01,-4.0,R+4,Mariannette Miller-Meeks,R,False,Toss Up,https://www.cookpolitical.com/races
IA-02,-4.0,R+4,OPEN,,True,Lean R,https://www.cookpolitical.com/races
IA-03,-2.0,R+2,Zach Nunn,R,False,Toss Up,https://www.cookpolitical.com/races
IA-04,-15.0,R+15,OPEN,,True,Solid R,https://www.cookpolitical.com/races
ID-01,-22.0,R+22,Russ Fulcher,R,False,Solid R,https://www.cookpolitical.com/races
ID-02,-13.0,R+13,Mike Simpson,R,False,Solid R,https://www.cookpolitical.com/races
IL-01,18.0,D+18,Jonathan Jackson,D,False,Solid D,https://www.cookpolitical.com/races
IL-02,18.0,D+18,OPEN,,True,Solid D,https://www.cookpolitical.com/races
IL-03,17.0,D+17,Delia Ramirez,D,False,Solid D,https://www.cookpolitical.com/races
IL-04,17.0,D+17,OPEN,,True,Solid D,https://www.cookpolitical.com/races
IL-05,19.0,D+19,Mike Quigley,D,False,Solid D,https://www.cookpolitical.com/races
IL-06,3.0,D+3,Sean Casten,D,False,Solid D,https://www.cookpolitical.com/races
IL-07,34.0,D+34,OPEN,,True,Solid D,https://www.cookpolitical.com/races
IL-08,5.0,D+5,OPEN,,True,Solid D,https://www.cookpolitical.com/races
IL-09,19.0,D+19,OPEN,,True,Solid D,https://www.cookpolitical.com/races
IL-10,12.0,D+12,Brad Schneider,D,False,Solid D,https://www.cookpolitical.com/races
IL-11,6.0,D+6,Bill Foster,D,False,Solid D,https://www.cookpolitical.com/races
IL-12,-22.0,R+22,Mike Bost,R,False,Solid R,https://www.cookpolitical.com/races
IL-13,5.0,D+5,Nikki Budzinski,D,False,Solid D,https://www.cookpolitical.com/races
IL-14,3.0,D+3,Lauren Underwood,D,False,Solid D,https://www.cookpolitical.com/races
IL-15,-20.0,R+20,Mary Miller,R,False,Solid R,https://www.cookpolitical.com/races
IL-16,-11.0,R+11,Darin LaHood,R,False,Solid R,https://www.cookpolitical.com/races
IL-17,3.0,D+3,Eric Sorensen,D,False,Solid D,https://www.cookpolitical.com/races
IN-01,1.0,D+1,Frank J. Mrvan,D,False,Likely D,https://www.cookpolitical.com/races
IN-02,-13.0,R+13,Rudy Yakym,R,False,Solid R,https://www.cookpolitical.com/races
IN-03,-16.0,R+16,Marlin Stutzman,R,False,Solid R,https://www.cookpolitical.com/races
IN-04,-15.0,R+15,Jim Baird,R,False,Solid R,https://www.cookpolitical.com/races
IN-05,-8.0,R+8,Victoria Spartz,R,False,Solid R,https://www.cookpolitical.com/races
IN-06,-16.0,R+16,Jefferson Shreve,R,False,Solid R,https://www.cookpolitical.com/races
IN-07,21.0,D+21,André Carson,D,False,Solid D,https://www.cookpolitical.com/races
IN-08,-18.0,R+18,Mark Messmer,R,False,Solid R,https://www.cookpolitical.com/races
IN-09,-15.0,R+15,Erin Houchin,R,False,Solid R,https://www.cookpolitical.com/races
KS-01,-16.0,R+16,Tracey Mann,R,False,Solid R,https://www.cookpolitical.com/races
KS-02,-10.0,R+10,Derek Schmidt,R,False,Solid R,https://www.cookpolitical.com/races
KS-03,2.0,D+2,Sharice Davids,D,False,Solid D,https://www.cookpolitical.com/races
KS-04,-12.0,R+12,Ron Estes,R,False,Solid R,https://www.cookpolitical.com/races
KY-01,-23.0,R+23,James Comer,R,False,Solid R,https://www.cookpolitical.com/races
KY-02,-20.0,R+20,Brett Guthrie,R,False,Solid R,https://www.cookpolitical.com/races
KY-03,10.0,D+10,Morgan McGarvey,D,False,Solid D,https://www.cookpolitical.com/races
KY-04,-18.0,R+18,OPEN,,True,Solid R,https://www.cookpolitical.com/races
KY-05,-32.0,R+32,Hal Rogers,R,False,Solid R,https://www.cookpolitical.com/races
KY-06,-7.0,R+7,OPEN,,True,Likely R,https://www.cookpolitical.com/races
LA-01,-20.0,R+20,Steve Scalise,R,False,Solid R,https://www.cookpolitical.com/races
LA-02,25.0,D+25,Troy Carter,D,False,Solid D,https://www.cookpolitical.com/races
LA-03,-18.0,R+18,Clay Higgins,R,False,Solid R,https://www.cookpolitical.com/races
LA-04,-17.0,R+17,Mike Johnson,R,False,Solid R,https://www.cookpolitical.com/races
LA-05,-17.0,R+17,OPEN,,True,Solid R,https://www.cookpolitical.com/races
LA-06,-16.0,R+16,OPEN,,True,Solid R,https://www.cookpolitical.com/races
MA-01,8.0,D+8,Richard Neal,D,False,Solid D,https://www.cookpolitical.com/races
MA-02,13.0,D+13,Jim McGovern,D,False,Solid D,https://www.cookpolitical.com/races
MA-03,11.0,D+11,Lori Trahan,D,False,Solid D,https://www.cookpolitical.com/races
MA-04,11.0,D+11,Jake Auchincloss,D,False,Solid D,https://www.cookpolitical.com/races
MA-05,24.0,D+24,Katherine Clark,D,False,Solid D,https://www.cookpolitical.com/races
MA-06,11.0,D+11,OPEN,,True,Solid D,https://www.cookpolitical.com/races
MA-07,34.0,D+34,Ayanna Pressley,D,False,Solid D,https://www.cookpolitical.com/races
MA-08,15.0,D+15,Stephen Lynch,D,False,Solid D,https://www.cookpolitical.com/races
