district_id_raw,partisan_lean_538,district_id,pvi_string,pvi_numeric
VA-2,-6.693087,VA-02,R+6.7,-6.69
VA-3,31.38345,VA-03,D+31.4,31.38
VA-4,29.15058,VA-04,D+29.2,29.15
VA-5,-14.89142,VA-05,R+14.9,-14.89
VA-6,-28.83605,VA-06,R+28.8,-28.84
VA-7,1.365047,VA-07,D+1.4,1.37
VA-8,48.51135,VA-08,D+48.5,48.51
VA-9,-47.12505,VA-09,R+47.1,-47.13
VA-10,6.80068,VA-10,D+6.8,6.8
VA-11,32.06858,VA-11,D+32.1,32.07
VT-1,27.77973,VT-01,D+27.8,27.78
WA-1,22.98378,WA-01,D+23.0,22.98
WA-2,15.78128,WA-02,D+15.8,15.78
WA-3,-11.21785,WA-03,R+11.2,-11.22
WA-4,-24.55468,WA-04,R+24.6,-24.55
WA-5,-16.67488,WA-05,R+16.7,-16.67
WA-6,9.750251,WA-06,D+9.8,9.75
WA-7,68.03828,WA-07,D+68.0,68.04
WA-8,0.2929841,WA-08,D+0.3,0.29
WA-9,38.41735,WA-09,D+38.4,38.42
WA-10,10.39405,WA-10,D+10.4,10.39
WI-1,-6.193876,WI-01,R+6.2,-6.19
WI-2,36.34102,WI-02,D+36.3,36.34
WI-3,-8.386776,WI-03,R+8.4,-8.39
WI-4,47.85919,WI-04,D+47.9,47.86
WI-5,-28.14144,WI-05,R+28.1,-28.14
WI-6,-20.01838,WI-06,R+20.0,-20.02
WI-7,-23.92584,WI-07,R+23.9,-23.93
WI-8,-19.91714,WI-08,R+19.9,-19.92
WV-1,-34.6786,WV-01,R+34.7,-34.68
WV-2,-34.0883,WV-02,R+34.1,-34.09
WY-1,-49.86651,WY-01,R+49.9,-49.87
