district_id_raw,pvi_string,district_id,pvi_numeric
OR-1,D+18.35,OR-01,18.35
OR-2,R+21.45,OR-02,-21.45
OR-3,D+45.28,OR-03,45.28
OR-4,R+0.32,OR-04,-0.32
OR-5,D+1.32,OR-05,1.32
PA-1,R+0.68,PA-01,-0.68
PA-10,R+10.68,PA-10,-10.68
PA-11,R+27.24,PA-11,-27.24
PA-12,R+35.04,PA-12,-35.04
PA-13,R+44.51,PA-13,-44.51
PA-14,R+27.78,PA-14,-27.78
PA-15,R+40.38,PA-15,-40.38
PA-16,R+17.48,PA-16,-17.48
PA-17,R+5.78,PA-17,-5.78
PA-18,D+25.22,PA-18,25.22
PA-2,D+47.99,PA-02,47.99
PA-3,D+81.42,PA-03,81.42
PA-4,D+14.76,PA-04,14.76
PA-5,D+25.49,PA-05,25.49
PA-6,D+4.72,PA-06,4.72
PA-7,D+0.52,PA-07,0.52
PA-8,R+4.98,PA-08,-4.98
PA-9,R+30.54,PA-09,-30.54
RI-1,D+34.62,RI-01,34.62
RI-2,D+18.12,RI-02,18.12
SC-1,R+18.95,SC-01,-18.95
SC-2,R+22.55,SC-02,-22.55
SC-3,R+39.72,SC-03,-39.72
SC-4,R+29.99,SC-04,-29.99
SC-5,R+20.35,SC-05,-20.35
SC-6,D+34.41,SC-06,34.41
SC-7,R+20.15,SC-07,-20.15
SD-1,R+30.6,SD-01,-30.6
TN-1,R+57.66,TN-01,-57.66
TN-2,R+39.72,TN-02,-39.72
TN-3,R+36.86,TN-03,-36.86
TN-4,R+42.19,TN-04,-42.19
TN-5,D+12.68,TN-05,12.68
TN-6,R+49.79,TN-06,-49.79
TN-7,R+41.12,TN-07,-41.12
TN-8,R+38.79,TN-08,-38.79
TN-9,D+53.64,TN-09,53.64
TX-1,R+51.65,TX-01,-51.65
TX-10,R+18.51,TX-10,-18.51
TX-11,R+64.68,TX-11,-64.68
TX-12,R+37.51,TX-12,-37.51
TX-13,R+68.25,TX-13,-68.25
TX-14,R+25.48,TX-14,-25.48
TX-15,D+10.75,TX-15,10.75
TX-16,D+31.35,TX-16,31.35
TX-17,R+24.91,TX-17,-24.91
TX-18,D+49.75,TX-18,49.75
TX-19,R+54.55,TX-19,-54.55
TX-2,R+20.98,TX-02,-20.98
TX-20,D+18.52,TX-20,18.52
TX-21,R+19.65,TX-21,-19.65
TX-22,R+19.41,TX-22,-19.41
TX-23,R+4.28,TX-23,-4.28
TX-24,R+17.28,TX-24,-17.28
TX-25,R+22.98,TX-25,-22.98
TX-26,R+35.65,TX-26,-35.65
TX-27,R+28.85,TX-27,-28.85
TX-28,D+14.72,TX-28,14.72
TX-29,D+35.75,TX-29,35.75
TX-3,R+25.18,TX-03,-25.18
TX-30,D+54.85,TX-30,54.85
TX-31,R+21.25,TX-31,-21.25
TX-32,R+9.58,TX-32,-9.58
TX-33,D+42.09,TX-33,42.09
TX-34,D+16.15,TX-34,16.15
TX-35,D+26.19,TX-35,26.19
TX-36,R+52.71,TX-36,-52.71
TX-4,R+57.81,TX-04,-57.81
TX-5,R+34.65,TX-05,-34.65
TX-6,R+19.58,TX-06,-19.58
TX-7,R+11.85,TX-07,-11.85
TX-8,R+56.65,TX-08,-56.65
TX-9,D+54.15,TX-09,54.15
UT-1,R+40.52,UT-01,-40.52
UT-2,R+25.58,UT-02,-25.58
UT-3,R+38.85,UT-03,-38.85
UT-4,R+20.12,UT-04,-20.12
VA-1,R+16.99,VA-01,-16.99
VA-10,D+1.55,VA-10,1.55
VA-11,D+30.25,VA-11,30.25
VA-2,R+7.79,VA-02,-7.79
VA-3,D+28.48,VA-03,28.48
VA-4,D+16.91,VA-04,16.91
VA-5,R+14.35,VA-05,-14.35
VA-6,R+27.72,VA-06,-27.72
VA-7,R+12.59,VA-07,-12.59
VA-8,D+42.58,VA-08,42.58
VA-9,R+41.82,VA-09,-41.82
VT-1,D+24.2,VT-01,24.2
WA-1,D+10.67,WA-01,10.67
WA-10,D+8.87,WA-10,8.87
WA-2,D+18.01,WA-02,18.01
WA-3,R+9.29,WA-03,-9.29
WA-4,R+26.26,WA-04,-26.26
WA-5,R+15.79,WA-05,-15.79
WA-6,D+9.37,WA-06,9.37
WA-7,D+63.17,WA-07,63.17
WA-8,R+1.26,WA-08,-1.26
WA-9,D+40.57,WA-09,40.57
WI-1,R+11.49,WI-01,-11.49
WI-2,D+33.91,WI-02,33.91
WI-3,R+2.56,WI-03,-2.56
WI-4,D+48.74,WI-04,48.74
WI-5,R+24.49,WI-05,-24.49
WI-6,R+16.93,WI-06,-16.93
WI-7,R+17.86,WI-07,-17.86
WI-8,R+16.19,WI-08,-16.19
WV-1,R+30.43,WV-01,-30.43
WV-2,R+25.39,WV-02,-25.39
WV-3,R+37.33,WV-03,-37.33
WY-1,R+48.35,WY-01,-48.35
