district_id,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct,margin,winner_party
NC-04,194983,96442,0,291425,66.91,33.09,33.81999999999999,D
NC-05,102269,175279,0,277548,36.85,63.15,-26.299999999999997,R
NC-06,139553,116635,2810,258998,54.47,45.53,8.939999999999998,D
NC-07,120222,164047,0,284269,42.29,57.71,-15.420000000000002,R
NC-08,79192,183998,0,263190,30.09,69.91,-39.81999999999999,R
NC-09,101202,131453,0,232655,43.5,56.5,-13.0,R
NC-10,73174,194681,352,268207,27.32,72.68,-45.36000000000001,R
NC-11,144165,174232,5515,323912,45.28,54.72,-9.439999999999998,R
NC-12,140494,83414,0,223908,62.75,37.25,25.5,D
NC-13,143090,134256,0,277346,51.59,48.41,3.180000000000007,D
NC-14,148738,109014,0,257752,57.71,42.29,15.420000000000002,D
ND-01,0,148399,90187,238586,0.0,100.0,-100.0,R
NE-01,93929,129236,0,223165,42.09,57.91,-15.819999999999993,R
NE-02,106807,112663,0,219470,48.67,51.33,-2.6599999999999966,R
NE-03,34836,172700,13016,220552,16.79,83.21,-66.41999999999999,R
NH-01,167391,142229,342,309962,54.06,45.94,8.120000000000005,D
NH-02,171636,135579,369,307584,55.87,44.13,11.739999999999995,D
NJ-01,139559,78794,5531,223884,63.91,36.09,27.819999999999993,D
NJ-02,94522,139217,2745,236484,40.44,59.56,-19.120000000000005,R
NJ-03,150498,118415,2463,271376,55.97,44.03,11.939999999999998,D
NJ-04,81233,173288,4441,258962,31.92,68.08,-36.16,R
NJ-05,145559,117873,2511,265943,55.25,44.75,10.5,D
NJ-06,106238,75839,2842,184919,58.35,41.65,16.700000000000003,D
NJ-07,150701,159392,0,310093,48.6,51.4,-2.799999999999997,R
NJ-08,78382,24957,3134,106473,75.85,24.15,51.699999999999996,D
NJ-09,82457,65365,2162,149984,55.78,44.22,11.560000000000002,D
NJ-10,100710,25993,3004,129707,79.49,20.51,58.97999999999999,D
NJ-11,161436,109952,2276,273664,59.49,40.51,18.980000000000004,D
NJ-12,125127,71175,1925,198227,63.74,36.26,27.480000000000004,D
NM-01,156462,124151,58,280671,55.76,44.24,11.519999999999996,D
NM-02,97037,95636,0,192673,50.36,49.64,0.7199999999999989,D
NM-03,134217,96565,0,230782,58.16,41.84,16.319999999999993,D
NV-01,115700,103115,5534,224349,52.88,47.12,5.760000000000005,D
NV-02,117371,185467,7660,310498,38.76,61.24,-22.480000000000004,R
